"product_category_name","cantidad_proveedores","total_ordenes","precio_promedio","ordenes_por_proveedor","viabilidad"
cama_mesa_banho,196,9417,93.3,48.05,MEDIA OPORTUNIDAD
perfumaria,175,3162,116.74,18.07,MEDIA OPORTUNIDAD
informatica_acessorios,287,6689,116.51,23.31,BAJA OPORTUNIDAD
fashion_bolsas_e_acessorios,99,1864,75.25,18.83,BAJA OPORTUNIDAD
beleza_saude,492,8836,130.16,17.96,BAJA OPORTUNIDAD
moveis_decoracao,370,6449,87.56,17.43,BAJA OPORTUNIDAD
esporte_lazer,481,7720,114.34,16.05,BAJA OPORTUNIDAD
brinquedos,252,3886,117.55,15.42,BAJA OPORTUNIDAD
ferramentas_jardim,237,3518,111.63,14.84,BAJA OPORTUNIDAD
malas_acessorios,73,1034,128.6,14.16,BAJA OPORTUNIDAD
cool_stuff,267,3632,167.36,13.6,BAJA OPORTUNIDAD
papelaria,173,2311,91.75,13.36,BAJA OPORTUNIDAD
consoles_games,82,1062,138.49,12.95,BAJA OPORTUNIDAD
utilidades_domesticas,468,5884,90.79,12.57,BAJA OPORTUNIDAD
pet_shop,137,1710,110.07,12.48,BAJA OPORTUNIDAD
bebes,244,2885,134.34,11.82,BAJA OPORTUNIDAD
automotivo,383,3897,139.96,10.17,BAJA OPORTUNIDAD
livros_interesse_geral,54,512,84.73,9.48,BAJA OPORTUNIDAD
instrumentos_musicais,70,628,281.62,8.97,BAJA OPORTUNIDAD
alimentos,58,450,57.63,7.76,BAJA OPORTUNIDAD
moveis_sala,56,422,137.01,7.54,BAJA OPORTUNIDAD
casa_construcao,68,490,137.56,7.21,BAJA OPORTUNIDAD
eletroportateis,105,630,280.78,6.0,BAJA OPORTUNIDAD
construcao_ferramentas_construcao,128,748,155.73,5.84,BAJA OPORTUNIDAD
"",257,1451,112.0,5.65,BAJA OPORTUNIDAD
climatizacao,52,253,185.27,4.87,BAJA OPORTUNIDAD
moveis_cozinha_area_de_servico_jantar_e_jardim,52,248,164.87,4.77,BAJA OPORTUNIDAD
market_place,59,280,91.25,4.75,BAJA OPORTUNIDAD
relogios_presentes,101,5624,201.14,55.68,ALTA OPORTUNIDAD
telefonia,149,4199,71.21,28.18,ALTA OPORTUNIDAD
eletronicos,149,2550,57.91,17.11,ALTA OPORTUNIDAD
