"product_category_name","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio","costo_total_promedio"
"",c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,353,122.4,14.96,137.36
"",e5a3438891c0bfdb9394643f95273d8e,limeira,SP,85,29.39,13.34,42.73
"","1ca7077d890b907f89be8c954a02686a",santana de parnaiba,SP,73,132.22,11.62,143.84
"","46dc3b2cc0980fb8ec44634e21d2718e",rio de janeiro,RJ,40,244.26,24.58,268.83
"",fc906263ca5083d09dce42fe02247800,belo horizonte,MG,29,39.04,15.43,54.47
"","0c8380b62e38e8a1e6adbeba7eb9688c",tres coracoes,MG,27,65.29,19.33,84.62
agro_industria_e_comercio,e59aa562b9f8076dd550fcddf0e73491,curitiba,PR,70,375.88,26.54,402.43
alimentos,"16090f2ca825584b5a147ab24aa30c86",atibaia,SP,112,28.0,12.57,40.57
alimentos,cbd996ad3c1b7dc71fd0e5f5df9087e2,sao jose do rio preto,SP,86,50.25,15.05,65.3
alimentos,d13e50eaa47b4cbe9eb81465865d8cfc,santo andre,SP,56,84.56,11.99,96.56
alimentos,"8d79c8a04e42d722a75097ce5cbcf2ef",caucaia,CE,27,99.2,27.05,126.26
alimentos,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,25,82.28,16.79,99.07
alimentos_bebidas,"282f23a9769b2690c5dda22e316f9941",belo horizonte,MG,57,43.67,17.51,61.19
alimentos_bebidas,a3dd39f583bc80bd8c5901c95878921e,salvador,BA,34,124.54,21.74,146.27
artes,c31eff8334d6b3047ed34bebd4d62c36,salto,SP,106,100.97,19.14,120.11
artigos_de_natal,"113e3a788b935f48aad63e1c41dac1bd",aparecida,SP,39,17.65,14.3,31.96
artigos_de_natal,d93919c944be9cff128f6c9cb899eacb,mombuca,SP,32,78.03,29.34,107.36
audio,"7040e82f899a04d1b434b795a43b4617",sao paulo,SP,94,17.31,12.57,29.89
audio,"4869f7a5dfa277a7dca6462dcf3b52b2",guariba,SP,56,161.27,17.4,178.67
audio,"7d13fca15225358621be4086e1eb0964",ribeirao preto,SP,47,394.93,19.71,414.64
audio,b2ba3715d723d245138f291a6fe42594,sao paulo,SP,31,112.35,13.29,125.64
audio,"6560211a19b47992c3666cc44a7e94c0",sao paulo,SP,30,84.88,14.0,98.87
automotivo,"8581055ce74af1daba164fdbd55a40de",guarulhos,SP,387,149.25,22.2,171.46
automotivo,"16090f2ca825584b5a147ab24aa30c86",atibaia,SP,252,51.66,13.55,65.21
automotivo,"7142540dd4c91e2237acb7e911c4eba2",penapolis,SP,227,123.09,21.78,144.87
automotivo,c003204e1ab016dfa150abc119207b24,cajamar,SP,153,123.11,21.05,144.16
automotivo,b4ffb71f0cb1b1c3d63fad021ecf93e1,sao paulo,SP,144,40.34,15.27,55.61
automotivo,"6a8b085f816a1f75f92dbac6eb545f8f",bebedouro,SP,127,44.58,16.13,60.72
automotivo,"5d0363b33554b373851fc1622e4d5f3c",atibaia,SP,89,67.09,23.63,90.72
automotivo,c8b0e2b0a7095e5d8219575d5e7e1181,itaquaquecetuba,SP,84,143.18,17.5,160.67
automotivo,"080199a181c46c657dc5aa235411be3b",osasco,SP,79,174.75,12.54,187.29
automotivo,"712e6ed8aa4aa1fa65dab41fed5737e4",videira,SC,79,457.64,79.19,536.83
automotivo,"34056b8b55c1775a22af2331670a799c",penapolis,SP,78,82.76,22.75,105.51
automotivo,"116ccb1a1604bc88e4d234a8c23f33de",sao bernardo do campo,SP,50,22.79,12.2,34.99
automotivo,"25cf099de44674fde97473224f9d59ab",cotia,SP,50,33.09,14.1,47.19
automotivo,"05d2173d43ea568aa0540eba70d2ca76",alfenas,MG,46,90.18,26.76,116.95
automotivo,"1d4587203296c8f4ad134dc286fa6db0",sao paulo,SP,42,54.03,16.38,70.41
automotivo,"3db66a856d18a9cba7c9241fc5221c50",ponte nova,MG,42,133.16,24.7,157.85
automotivo,"3f995f07c49d0d55a99d5c54957f7d81",itapecerica da serra,SP,41,92.63,15.57,108.2
automotivo,"6338ea67c41078a46ad99cc009654956",farroupilha,RS,37,51.96,21.01,72.96
automotivo,cee48807215b30a12ca2ca10ffb5f250,guaruja,SP,37,183.91,23.22,207.12
automotivo,"31561f325664a8a7aba4c8d0c3a9b3db",sao paulo,SP,34,72.77,16.86,89.62
automotivo,e96498ed8daaa3e9c23f7a62da76591c,sao paulo,SP,34,282.91,20.97,303.89
automotivo,"7ddcbb64b5bc1ef36ca8c151f6ec77df",sao paulo,SP,33,33.93,14.22,48.15
automotivo,"4e922959ae960d389249c378d1c939f5",jacarei,SP,29,88.52,14.19,102.71
automotivo,"817245bcc3badd82bbd222e0366951a6",bauru,SP,29,124.01,16.06,140.07
automotivo,d97df38225e5abadaff1e72cb72b823c,sao caetano do sul,SP,29,63.66,17.82,81.48
automotivo,f12ff17ad8bbf01ec5c33b17e506649b,sao paulo,SP,29,215.21,22.47,237.68
automotivo,e5e33c0d8e7e002f398f5dc4cbbb338f,bauru,SP,26,240.55,27.63,268.18
automotivo,c9c7905cffc4ef9ff9f113554423e671,itapecerica da serra,SP,25,88.93,13.98,102.91
automotivo,a938325a4b357fd23a6a4d5bb126408e,nilopolis,RJ,24,129.24,22.43,151.67
automotivo,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,24,25.63,11.44,37.07
