"product_category_name","total_ordenes","precio_promedio","costo_logistica_promedio","margen_neto","margen_porcentaje"
pcs,181,1098.34,48.45,1049.89,95.59
portateis_casa_forno_e_cafe,75,624.29,36.16,588.13,94.21
telefonia_fixa,217,225.69,17.57,208.13,92.22
portateis_cozinha_e_preparadores_de_alimentos,14,264.57,20.65,243.92,92.19
agro_industria_e_comercio,182,342.12,27.56,314.56,91.94
relogios_presentes,5624,201.14,16.78,184.35,91.66
eletroportateis,630,280.78,23.59,257.18,91.6
pc_gamer,8,171.77,14.84,156.93,91.36
eletrodomesticos_2,234,476.12,44.54,431.59,90.65
construcao_ferramentas_seguranca,167,208.99,20.2,188.79,90.33
instrumentos_musicais,628,281.62,27.41,254.21,90.27
audio,350,139.25,15.69,123.57,88.73
musica,38,158.8,18.17,140.63,88.56
climatizacao,253,185.27,22.72,162.54,87.73
consoles_games,1062,138.49,17.44,121.05,87.41
construcao_ferramentas_ferramentas,97,154.41,19.71,134.7,87.23
cool_stuff,3632,167.36,22.14,145.22,86.77
perfumaria,3162,116.74,15.86,100.88,86.42
construcao_ferramentas_construcao,748,155.73,22.23,133.51,85.73
beleza_saude,8836,130.16,18.88,111.28,85.5
casa_conforto,397,134.96,19.59,115.37,85.49
seguros_e_servicos,2,141.64,20.61,121.03,85.45
automotivo,3897,139.96,21.88,118.08,84.37
"",1451,112.0,17.57,94.43,84.31
brinquedos,3886,117.55,18.81,98.74,84.0
informatica_acessorios,6689,116.51,18.82,97.69,83.85
la_cuisine,13,146.78,23.82,122.96,83.77
tablets_impressao_imagem,79,90.7,14.77,75.93,83.71
livros_importados,53,77.33,12.83,64.5,83.41
bebes,2885,134.34,22.3,112.04,83.4
casa_construcao,490,137.56,22.9,114.66,83.35
artes,202,115.8,19.35,96.45,83.29
fashion_roupa_infanto_juvenil,8,71.23,11.94,59.29,83.24
esporte_lazer,7720,114.34,19.51,94.83,82.94
cine_foto,65,96.3,17.45,78.85,81.88
pet_shop,1710,110.07,20.32,89.76,81.54
construcao_ferramentas_iluminacao,244,135.13,24.95,110.18,81.54
artigos_de_festas,39,104.31,19.26,85.05,81.54
eletrodomesticos,764,103.98,19.22,84.76,81.52
market_place,280,91.25,17.54,73.71,80.77
livros_interesse_geral,512,84.73,16.63,68.1,80.38
cama_mesa_banho,9417,93.3,18.42,74.88,80.26
industria_comercio_e_negocios,235,148.02,29.42,118.6,80.12
fashion_roupa_masculina,112,81.8,16.31,65.5,80.07
fashion_underwear_e_moda_praia,121,72.84,14.63,58.21,79.92
papelaria,2311,91.75,18.59,73.16,79.74
ferramentas_jardim,3518,111.63,22.77,88.86,79.61
artes_e_artesanato,23,75.58,15.42,60.16,79.6
fashion_bolsas_e_acessorios,1864,75.25,15.48,59.76,79.42
construcao_ferramentas_jardim,194,108.05,22.32,85.73,79.35
fashion_calcados,240,89.93,18.77,71.16,79.12
dvds_blu_ray,59,93.74,20.14,73.6,78.52
malas_acessorios,1034,128.6,27.88,100.72,78.32
telefonia,4199,71.21,15.67,55.54,78.0
fashion_roupa_feminina,39,58.41,12.95,45.46,77.82
livros_tecnicos,260,71.52,16.04,55.48,77.57
utilidades_domesticas,5884,90.79,20.99,69.8,76.88
moveis_quarto,95,183.75,42.5,141.25,76.87
moveis_decoracao,6449,87.56,20.73,66.84,76.33
alimentos,450,57.63,14.26,43.38,75.26
moveis_escritorio,1273,162.01,40.55,121.46,74.97
bebidas,297,59.18,15.15,44.03,74.4
moveis_cozinha_area_de_servico_jantar_e_jardim,248,164.87,42.7,122.17,74.1
moveis_sala,422,137.01,35.72,101.29,73.93
fashion_esporte,27,70.65,19.27,51.38,72.72
eletronicos,2550,57.91,16.83,41.08,70.93
alimentos_bebidas,227,54.6,16.22,38.39,70.3
sinalizacao_e_seguranca,140,108.09,32.7,75.38,69.74
cds_dvds_musicais,12,52.14,16.07,36.07,69.18
fraldas_higiene,27,40.19,14.71,25.48,63.4
artigos_de_natal,128,57.52,21.11,36.42,63.31
moveis_colchao_e_estofado,38,114.95,42.91,72.04,62.67
flores,29,33.64,14.81,18.82,55.96
casa_conforto_2,24,25.34,13.68,11.67,46.03
