"product_category_name","ordenes","dias_entrega","rating_promedio","satisfechos","pct_satisfechos"
artes_e_artesanato,16,4.9,4.31,14,87.5
fashion_roupa_infanto_juvenil,7,5.2,4.43,6,85.71
la_cuisine,11,6.8,3.92,9,81.82
artigos_de_festas,33,8.0,3.83,24,72.73
livros_importados,46,8.1,4.4,44,95.65
portateis_cozinha_e_preparadores_de_alimentos,12,8.7,3.5,6,50.0
pc_gamer,8,8.9,3.33,6,75.0
portateis_casa_forno_e_cafe,59,8.9,4.33,51,86.44
construcao_ferramentas_iluminacao,183,9.1,4.1,170,92.9
alimentos,337,9.3,4.26,311,92.28
artes,152,9.7,3.96,116,76.32
sinalizacao_e_seguranca,110,9.9,4.08,114,103.64
construcao_ferramentas_construcao,593,10.0,4.05,554,93.42
livros_tecnicos,198,10.0,4.37,171,86.36
cine_foto,55,10.1,4.19,49,89.09
bebidas,224,10.2,3.94,209,93.3
industria_comercio_e_negocios,189,10.2,4.03,165,87.3
malas_acessorios,813,10.2,4.33,720,88.56
eletroportateis,502,10.3,4.18,441,87.85
flores,22,10.3,4.25,20,90.91
utilidades_domesticas,4572,10.5,4.06,4147,90.7
fashion_bolsas_e_acessorios,1461,10.6,4.13,1259,86.17
pet_shop,1332,10.7,4.23,1225,91.97
agro_industria_e_comercio,141,10.8,3.97,129,91.49
alimentos_bebidas,175,10.8,4.26,169,96.57
cds_dvds_musicais,8,10.8,4.75,7,87.5
eletrodomesticos,600,10.9,4.2,512,85.33
fraldas_higiene,19,10.9,2.96,12,63.16
brinquedos,3031,11.1,4.16,2534,83.6
construcao_ferramentas_ferramentas,72,11.2,4.33,67,93.06
construcao_ferramentas_seguranca,138,11.2,3.85,116,84.06
livros_interesse_geral,404,11.2,4.48,386,95.54
musica,32,11.2,4.13,25,78.13
perfumaria,2484,11.2,4.15,2121,85.39
climatizacao,201,11.4,4.03,179,89.05
moveis_cozinha_area_de_servico_jantar_e_jardim,197,11.4,3.95,164,83.25
beleza_saude,6923,11.5,4.14,5932,85.69
construcao_ferramentas_jardim,162,11.6,4.2,162,100.0
market_place,225,11.6,3.97,184,81.78
telefonia_fixa,164,11.6,3.61,134,81.71
automotivo,3063,11.7,4.05,2558,83.51
cool_stuff,2838,11.8,4.13,2336,82.31
esporte_lazer,5957,11.8,4.11,5252,88.17
fashion_esporte,20,11.8,4.09,19,95.0
bebes,2263,12.0,4.0,1802,79.63
relogios_presentes,4443,12.2,4.0,3533,79.52
moveis_decoracao,4968,12.3,3.89,4589,92.37
moveis_quarto,75,12.3,4.33,73,97.33
papelaria,1798,12.3,4.22,1590,88.43
pcs,143,12.3,4.23,132,92.31
telefonia,3260,12.3,3.96,2606,79.94
dvds_blu_ray,51,12.4,4.07,46,90.2
eletronicos,1995,12.4,4.02,1645,82.46
tablets_impressao_imagem,54,12.4,4.04,42,77.78
"",1124,12.5,3.79,881,78.38
cama_mesa_banho,7350,12.5,3.9,6213,84.53
casa_conforto,306,12.5,3.83,232,75.82
fashion_roupa_masculina,83,12.5,3.68,63,75.9
informatica_acessorios,5232,12.6,3.94,4519,86.37
instrumentos_musicais,510,12.6,4.11,435,85.29
audio,270,12.8,3.82,195,72.22
casa_construcao,386,12.8,3.93,350,90.67
fashion_roupa_feminina,34,12.8,3.68,26,76.47
consoles_games,841,12.9,4.05,673,80.02
artigos_de_natal,101,13.2,4.07,95,94.06
ferramentas_jardim,2735,13.2,4.02,2544,93.02
moveis_sala,322,13.3,3.91,272,84.47
eletrodomesticos_2,190,13.8,4.06,152,80.0
fashion_underwear_e_moda_praia,88,13.8,3.92,72,81.82
moveis_colchao_e_estofado,32,14.1,3.88,23,71.88
seguros_e_servicos,2,14.4,2.5,1,50.0
casa_conforto_2,21,14.7,3.52,15,71.43
fashion_calcados,181,15.2,4.21,159,87.85
moveis_escritorio,1005,20.2,3.46,801,79.7
