"product_category_name","cantidad_proveedores","total_ordenes","margen_pct","dias_entrega","viabilidad_score_final"
pc_gamer,2,8,91.36,8.9,132.0
portateis_casa_forno_e_cafe,15,75,94.21,9.4,132.0
portateis_cozinha_e_preparadores_de_alimentos,5,14,92.19,7.6,132.0
relogios_presentes,101,5624,91.66,12.2,125.0
artigos_de_festas,12,39,81.54,8.8,121.0
cine_foto,14,65,81.88,9.8,121.0
construcao_ferramentas_iluminacao,37,244,81.54,9.2,121.0
fashion_roupa_infanto_juvenil,4,8,83.24,8.4,121.0
la_cuisine,2,13,83.77,7.4,121.0
livros_importados,7,53,83.41,7.7,121.0
agro_industria_e_comercio,34,182,91.94,10.9,120.0
construcao_ferramentas_seguranca,35,167,90.33,11.5,120.0
eletrodomesticos_2,46,234,90.65,13.4,120.0
instrumentos_musicais,70,628,90.27,12.4,120.0
pcs,9,181,95.59,12.9,120.0
telefonia_fixa,49,217,92.22,12.1,120.0
cama_mesa_banho,196,9417,80.26,12.4,114.0
alimentos,58,450,75.26,9.2,110.0
artes,36,202,83.29,10.8,110.0
artes_e_artesanato,13,23,79.6,5.0,110.0
audio,36,350,88.73,12.9,110.0
casa_conforto,20,397,85.49,13.1,110.0
casa_construcao,68,490,83.35,12.8,110.0
climatizacao,52,253,87.73,11.7,110.0
consoles_games,82,1062,87.41,13.2,110.0
construcao_ferramentas_ferramentas,24,97,87.23,11.8,110.0
eletrodomesticos,48,764,81.52,10.9,110.0
fashion_roupa_masculina,13,112,80.07,12.7,110.0
industria_comercio_e_negocios,29,235,80.12,10.3,110.0
livros_interesse_geral,54,512,80.38,11.1,110.0
market_place,59,280,80.77,11.7,110.0
musica,19,38,88.56,11.2,110.0
seguros_e_servicos,2,2,85.45,14.4,110.0
sinalizacao_e_seguranca,46,140,69.74,9.7,110.0
tablets_impressao_imagem,6,79,83.71,12.5,110.0
alimentos_bebidas,34,227,70.3,10.4,100.0
artigos_de_natal,17,128,63.31,15.3,100.0
bebidas,36,297,74.4,10.1,100.0
casa_conforto_2,4,24,46.03,14.2,100.0
cds_dvds_musicais,1,12,69.18,10.3,100.0
construcao_ferramentas_jardim,33,194,79.35,11.5,100.0
dvds_blu_ray,10,59,78.52,12.5,100.0
fashion_bolsas_e_acessorios,99,1864,79.42,10.7,100.0
fashion_calcados,15,240,79.12,15.1,100.0
fashion_esporte,10,27,72.72,11.4,100.0
fashion_roupa_feminina,11,39,77.82,11.8,100.0
fashion_underwear_e_moda_praia,9,121,79.92,13.3,100.0
flores,3,29,55.96,10.8,100.0
fraldas_higiene,8,27,63.4,10.4,100.0
livros_tecnicos,26,260,77.57,10.1,100.0
malas_acessorios,73,1034,78.32,10.3,100.0
moveis_colchao_e_estofado,5,38,62.67,14.1,100.0
moveis_cozinha_area_de_servico_jantar_e_jardim,52,248,74.1,11.4,100.0
moveis_quarto,23,95,76.87,12.8,100.0
moveis_sala,56,422,73.93,13.4,100.0
perfumaria,175,3162,86.42,11.4,97.0
eletroportateis,105,630,91.6,10.4,96.0
moveis_escritorio,34,1273,74.97,20.2,90.0
construcao_ferramentas_construcao,128,748,85.73,10.3,88.0
pet_shop,137,1710,81.54,10.9,88.0
telefonia,149,4199,78.0,12.3,88.0
informatica_acessorios,287,6689,83.85,12.7,86.0
eletronicos,149,2550,70.93,12.4,80.0
papelaria,173,2311,79.74,12.4,80.0
moveis_decoracao,370,6449,76.33,12.4,78.0
automotivo,383,3897,84.37,11.8,73.0
brinquedos,252,3886,84.0,11.3,73.0
cool_stuff,267,3632,86.77,11.9,73.0
"",257,1451,84.31,12.4,66.0
bebes,244,2885,83.4,12.1,66.0
ferramentas_jardim,237,3518,79.61,13.2,66.0
beleza_saude,492,8836,85.5,11.5,57.0
esporte_lazer,481,7720,82.94,11.8,57.0
utilidades_domesticas,468,5884,76.88,10.5,52.0
