"product_category_name","total_ordenes","precio_promedio","precio_minimo","precio_maximo","desviacion_estandar","coeficiente_variacion_pct"
artes,202,115.8,3.5,6499.0,444.59,383.93
dvds_blu_ray,59,93.74,8.9,1420.0,257.85,275.07
eletronicos,2550,57.91,3.99,2470.5,125.42,216.56
telefonia,4199,71.21,5.0,2428.0,135.75,190.62
telefonia_fixa,217,225.69,6.0,1790.0,420.03,186.11
ferramentas_jardim,3518,111.63,6.35,3930.0,200.51,179.62
"",1451,112.0,3.0,3980.0,197.72,176.54
eletrodomesticos,764,103.98,6.19,2090.0,178.87,172.02
industria_comercio_e_negocios,235,148.02,27.9,3089.0,253.02,170.94
construcao_ferramentas_ferramentas,97,154.41,6.8,1899.0,263.12,170.41
eletroportateis,630,280.78,6.5,4799.0,470.91,167.72
consoles_games,1062,138.49,5.18,4099.99,230.73,166.6
construcao_ferramentas_construcao,748,155.73,0.85,2300.0,256.05,164.42
casa_conforto_2,24,25.34,12.9,219.99,40.97,161.68
bebes,2885,134.34,3.54,3899.0,214.21,159.45
instrumentos_musicais,628,281.62,4.9,4399.87,445.71,158.27
utilidades_domesticas,5884,90.79,3.06,6735.0,141.52,155.88
construcao_ferramentas_seguranca,167,208.99,8.9,3099.9,317.86,152.09
automotivo,3897,139.96,3.49,2258.0,211.44,151.07
portateis_cozinha_e_preparadores_de_alimentos,14,264.57,17.42,1099.0,397.13,150.1
informatica_acessorios,6689,116.51,3.9,3699.99,169.96,145.87
market_place,280,91.25,9.99,1964.0,129.98,142.45
esporte_lazer,7720,114.34,4.5,4059.0,162.46,142.08
musica,38,158.8,3.85,1165.97,225.03,141.71
construcao_ferramentas_jardim,194,108.05,8.82,1349.9,151.08,139.82
beleza_saude,8836,130.16,1.2,3124.0,179.49,137.9
cine_foto,65,96.3,6.8,873.99,126.74,131.61
pet_shop,1710,110.07,2.9,2498.0,141.83,128.85
fashion_bolsas_e_acessorios,1864,75.25,6.0,1699.99,96.39,128.1
relogios_presentes,5624,201.14,8.99,3999.9,256.72,127.64
alimentos_bebidas,227,54.6,6.5,699.9,68.59,125.62
livros_interesse_geral,512,84.73,6.0,899.9,105.65,124.69
agro_industria_e_comercio,182,342.12,12.99,2990.0,418.44,122.31
livros_importados,53,77.33,18.99,749.0,93.43,120.81
cool_stuff,3632,167.36,7.0,3109.99,200.06,119.54
sinalizacao_e_seguranca,140,108.09,4.5,740.0,124.3,115.0
bebidas,297,59.18,6.0,623.0,67.86,114.66
audio,350,139.25,14.9,598.99,159.47,114.51
eletrodomesticos_2,234,476.12,13.9,2350.0,543.27,114.1
brinquedos,3886,117.55,4.9,1699.99,131.41,111.79
artigos_de_festas,39,104.31,7.99,571.2,113.3,108.63
casa_construcao,490,137.56,8.97,1097.99,144.67,105.16
climatizacao,253,185.27,10.9,1599.0,189.4,102.23
tablets_impressao_imagem,79,90.7,14.9,889.99,92.53,102.02
moveis_decoracao,6449,87.56,4.9,1899.0,88.83,101.44
moveis_cozinha_area_de_servico_jantar_e_jardim,248,164.87,9.6,1320.0,165.88,100.61
portateis_casa_forno_e_cafe,75,624.29,10.19,2899.0,605.82,97.04
construcao_ferramentas_iluminacao,244,135.13,12.51,1290.0,129.65,95.94
artes_e_artesanato,23,75.58,9.8,289.49,72.44,95.84
papelaria,2311,91.75,2.29,1693.0,84.32,91.9
artigos_de_natal,128,57.52,5.5,295.0,52.42,91.13
cama_mesa_banho,9417,93.3,6.99,1999.98,82.12,88.03
livros_tecnicos,260,71.52,9.95,384.93,62.55,87.46
perfumaria,3162,116.74,4.99,689.9,101.86,87.26
malas_acessorios,1034,128.6,13.33,1197.9,109.81,85.39
moveis_sala,422,137.01,13.9,839.99,115.18,84.06
casa_conforto,397,134.96,6.99,799.0,105.0,77.8
fashion_calcados,240,89.93,25.9,365.0,64.8,72.06
moveis_colchao_e_estofado,38,114.95,44.7,399.99,82.39,71.67
alimentos,450,57.63,9.99,274.99,41.3,71.65
fashion_esporte,27,70.65,24.99,225.0,48.35,68.43
fashion_underwear_e_moda_praia,121,72.84,3.9,192.0,48.97,67.23
fashion_roupa_masculina,112,81.8,14.9,292.5,54.59,66.73
fashion_roupa_feminina,39,58.41,19.9,198.9,38.76,66.37
moveis_quarto,95,183.75,6.9,650.0,119.89,65.25
fraldas_higiene,27,40.19,25.0,139.89,24.76,61.6
pcs,181,1098.34,34.5,6729.0,666.87,60.72
moveis_escritorio,1273,162.01,25.0,1189.9,93.71,57.84
la_cuisine,13,146.78,24.0,389.0,76.49,52.11
flores,29,33.64,15.6,65.9,16.48,49.0
fashion_roupa_infanto_juvenil,8,71.23,39.99,110.0,29.78,41.8
seguros_e_servicos,2,141.64,100.0,183.29,41.65,29.4
pc_gamer,8,171.77,129.99,239.0,47.07,27.4
cds_dvds_musicais,12,52.14,45.0,65.0,9.58,18.38
