"product_category_name","ranking","seller_id","seller_state","ordenes_vendedor","precio_promedio_vendedor","porcentaje_demanda"
"",1,c826c40d7b19f62a09e2d7c5e7295ee2,SP,353,122.4,24.33
"",2,e5a3438891c0bfdb9394643f95273d8e,SP,85,29.39,5.86
"",3,"1ca7077d890b907f89be8c954a02686a",SP,73,132.22,5.03
"",4,"46dc3b2cc0980fb8ec44634e21d2718e",RJ,40,244.26,2.76
"",5,fc906263ca5083d09dce42fe02247800,MG,29,39.04,2.0
agro_industria_e_comercio,1,e59aa562b9f8076dd550fcddf0e73491,PR,70,375.88,38.46
agro_industria_e_comercio,2,"6481e96574816ead57975da2c0f6d80d",SP,13,132.84,7.14
agro_industria_e_comercio,3,"955fee9216a65b617aa5c0531780ce60",SP,13,20.39,7.14
agro_industria_e_comercio,4,ef506c96320abeedfb894c34db06f478,SP,12,31.37,6.59
agro_industria_e_comercio,5,d9e8c084b68fe958861d8f2c21202e6b,SP,8,35.0,4.4
alimentos,1,"16090f2ca825584b5a147ab24aa30c86",SP,112,28.0,24.89
alimentos,2,cbd996ad3c1b7dc71fd0e5f5df9087e2,SP,86,50.25,19.11
alimentos,3,d13e50eaa47b4cbe9eb81465865d8cfc,SP,56,84.56,12.44
alimentos,4,"8d79c8a04e42d722a75097ce5cbcf2ef",CE,27,99.2,6.0
alimentos,5,e9779976487b77c6d4ac45f75ec7afe9,SP,25,82.28,5.56
alimentos_bebidas,1,"282f23a9769b2690c5dda22e316f9941",MG,57,43.67,25.11
alimentos_bebidas,2,a3dd39f583bc80bd8c5901c95878921e,BA,34,124.54,14.98
alimentos_bebidas,3,e9779976487b77c6d4ac45f75ec7afe9,SP,20,34.02,8.81
alimentos_bebidas,4,bbaff50f3b708fda865918715276cd87,SP,12,28.11,5.29
alimentos_bebidas,5,"5a93f3ab0ef4c84ed5e1b5dbf23978bc",SP,11,15.49,4.85
artes,1,c31eff8334d6b3047ed34bebd4d62c36,SP,106,100.97,52.48
artes,2,"955fee9216a65b617aa5c0531780ce60",SP,11,83.09,5.45
artes,3,b561927807645834b59ef0d16ba55a24,SP,11,61.47,5.45
artes,4,"2a6fbeaa7ab9e5d59a35841a8da71ce4",SC,7,49.41,3.47
artes,5,"8090490573c6c0aa343a7231ebcb8c86",SP,7,46.26,3.47
artes_e_artesanato,1,"55f7a3319d80f7fdf078b8f03e6725fe",SP,6,109.66,26.09
artes_e_artesanato,2,"0ddefe3c7a032b91f4e25b9c3a08fca1",SP,4,57.38,17.39
artes_e_artesanato,3,ef728fa1f17436c91ed1ccd03dcf9631,SP,3,32.17,13.04
artes_e_artesanato,4,"04ee0ec01589969663ba5967c0e0bdc0",RS,1,289.49,4.35
artes_e_artesanato,5,"05730013efda596306417c3b09302475",SC,1,238.0,4.35
artigos_de_festas,1,"6bbcb8924baf70b7fe2fe2097e8cd407",SC,8,279.93,20.51
artigos_de_festas,2,dbb9b48c841a0e39e21f98e1a6b2ec3e,SP,7,85.15,17.95
artigos_de_festas,3,c3aad7dc65449ae90a5e9c3c6c1e78e0,SP,6,85.0,15.38
