"product_category_name","cantidad_proveedores","total_ordenes","precio_promedio","costo_logistica_promedio"
beleza_saude,492,8836,130.16,18.88
esporte_lazer,481,7720,114.34,19.51
utilidades_domesticas,468,5884,90.79,20.99
automotivo,383,3897,139.96,21.88
moveis_decoracao,370,6449,87.56,20.73
informatica_acessorios,287,6689,116.51,18.82
cool_stuff,267,3632,167.36,22.14
"",257,1451,112.0,17.57
brinquedos,252,3886,117.55,18.81
bebes,244,2885,134.34,22.3
ferramentas_jardim,237,3518,111.63,22.77
cama_mesa_banho,196,9417,93.3,18.42
perfumaria,175,3162,116.74,15.86
papelaria,173,2311,91.75,18.59
telefonia,149,4199,71.21,15.67
eletronicos,149,2550,57.91,16.83
pet_shop,137,1710,110.07,20.32
construcao_ferramentas_construcao,128,748,155.73,22.23
eletroportateis,105,630,280.78,23.59
relogios_presentes,101,5624,201.14,16.78
fashion_bolsas_e_acessorios,99,1864,75.25,15.48
consoles_games,82,1062,138.49,17.44
malas_acessorios,73,1034,128.6,27.88
instrumentos_musicais,70,628,281.62,27.41
casa_construcao,68,490,137.56,22.9
market_place,59,280,91.25,17.54
alimentos,58,450,57.63,14.26
moveis_sala,56,422,137.01,35.72
livros_interesse_geral,54,512,84.73,16.63
moveis_cozinha_area_de_servico_jantar_e_jardim,52,248,164.87,42.7
climatizacao,52,253,185.27,22.72
telefonia_fixa,49,217,225.69,17.57
eletrodomesticos,48,764,103.98,19.22
sinalizacao_e_seguranca,46,140,108.09,32.7
eletrodomesticos_2,46,234,476.12,44.54
construcao_ferramentas_iluminacao,37,244,135.13,24.95
bebidas,36,297,59.18,15.15
audio,36,350,139.25,15.69
artes,36,202,115.8,19.35
construcao_ferramentas_seguranca,35,167,208.99,20.2
moveis_escritorio,34,1273,162.01,40.55
alimentos_bebidas,34,227,54.6,16.22
agro_industria_e_comercio,34,182,342.12,27.56
construcao_ferramentas_jardim,33,194,108.05,22.32
industria_comercio_e_negocios,29,235,148.02,29.42
livros_tecnicos,26,260,71.52,16.04
construcao_ferramentas_ferramentas,24,97,154.41,19.71
moveis_quarto,23,95,183.75,42.5
casa_conforto,20,397,134.96,19.59
musica,19,38,158.8,18.17
artigos_de_natal,17,128,57.52,21.11
portateis_casa_forno_e_cafe,15,75,624.29,36.16
fashion_calcados,15,240,89.93,18.77
cine_foto,14,65,96.3,17.45
fashion_roupa_masculina,13,112,81.8,16.31
artes_e_artesanato,13,23,75.58,15.42
artigos_de_festas,12,39,104.31,19.26
fashion_roupa_feminina,11,39,58.41,12.95
fashion_esporte,10,27,70.65,19.27
dvds_blu_ray,10,59,93.74,20.14
pcs,9,181,1098.34,48.45
fashion_underwear_e_moda_praia,9,121,72.84,14.63
fraldas_higiene,8,27,40.19,14.71
livros_importados,7,53,77.33,12.83
tablets_impressao_imagem,6,79,90.7,14.77
portateis_cozinha_e_preparadores_de_alimentos,5,14,264.57,20.65
moveis_colchao_e_estofado,5,38,114.95,42.91
fashion_roupa_infanto_juvenil,4,8,71.23,11.94
casa_conforto_2,4,24,25.34,13.68
flores,3,29,33.64,14.81
seguros_e_servicos,2,2,141.64,20.61
pc_gamer,2,8,171.77,14.84
la_cuisine,2,13,146.78,23.82
cds_dvds_musicais,1,12,52.14,16.07
