"product_category_name","cantidad_proveedores","total_ordenes","precio_promedio","ordenes_por_proveedor","nivel_fragmentacion","nivel_demanda"
relogios_presentes,101,5624,201.14,55.68,Baja fragmentación,Demanda alta
cama_mesa_banho,196,9417,93.3,48.05,Fragmentación moderada,Demanda alta
telefonia,149,4199,71.21,28.18,Baja fragmentación,Demanda moderada
informatica_acessorios,287,6689,116.51,23.31,Fragmentación moderada,Demanda alta
fashion_bolsas_e_acessorios,99,1864,75.25,18.83,Baja fragmentación,Demanda baja
perfumaria,175,3162,116.74,18.07,Fragmentación moderada,Demanda moderada
beleza_saude,492,8836,130.16,17.96,Alta fragmentación,Demanda alta
moveis_decoracao,370,6449,87.56,17.43,Alta fragmentación,Demanda alta
eletronicos,149,2550,57.91,17.11,Baja fragmentación,Demanda moderada
esporte_lazer,481,7720,114.34,16.05,Alta fragmentación,Demanda alta
brinquedos,252,3886,117.55,15.42,Fragmentación moderada,Demanda moderada
ferramentas_jardim,237,3518,111.63,14.84,Fragmentación moderada,Demanda moderada
malas_acessorios,73,1034,128.6,14.16,Baja fragmentación,Demanda baja
cool_stuff,267,3632,167.36,13.6,Fragmentación moderada,Demanda moderada
papelaria,173,2311,91.75,13.36,Fragmentación moderada,Demanda moderada
consoles_games,82,1062,138.49,12.95,Baja fragmentación,Demanda baja
utilidades_domesticas,468,5884,90.79,12.57,Alta fragmentación,Demanda alta
pet_shop,137,1710,110.07,12.48,Baja fragmentación,Demanda baja
bebes,244,2885,134.34,11.82,Fragmentación moderada,Demanda moderada
automotivo,383,3897,139.96,10.17,Alta fragmentación,Demanda moderada
livros_interesse_geral,54,512,84.73,9.48,Baja fragmentación,Demanda baja
instrumentos_musicais,70,628,281.62,8.97,Baja fragmentación,Demanda baja
alimentos,58,450,57.63,7.76,Baja fragmentación,Demanda baja
moveis_sala,56,422,137.01,7.54,Baja fragmentación,Demanda baja
casa_construcao,68,490,137.56,7.21,Baja fragmentación,Demanda baja
eletroportateis,105,630,280.78,6.0,Baja fragmentación,Demanda baja
construcao_ferramentas_construcao,128,748,155.73,5.84,Baja fragmentación,Demanda baja
"",257,1451,112.0,5.65,Fragmentación moderada,Demanda baja
climatizacao,52,253,185.27,4.87,Baja fragmentación,Demanda baja
moveis_cozinha_area_de_servico_jantar_e_jardim,52,248,164.87,4.77,Baja fragmentación,Demanda baja
market_place,59,280,91.25,4.75,Baja fragmentación,Demanda baja
