"product_category_name","ranking","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio"
"",1,c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,353,122.4,14.96
"",2,e5a3438891c0bfdb9394643f95273d8e,limeira,SP,85,29.39,13.34
"",3,"1ca7077d890b907f89be8c954a02686a",santana de parnaiba,SP,73,132.22,11.62
"",4,"46dc3b2cc0980fb8ec44634e21d2718e",rio de janeiro,RJ,40,244.26,24.58
"",5,fc906263ca5083d09dce42fe02247800,belo horizonte,MG,29,39.04,15.43
"",6,"0c8380b62e38e8a1e6adbeba7eb9688c",tres coracoes,MG,27,65.29,19.33
agro_industria_e_comercio,1,e59aa562b9f8076dd550fcddf0e73491,curitiba,PR,70,375.88,26.54
alimentos,1,"16090f2ca825584b5a147ab24aa30c86",atibaia,SP,112,28.0,12.57
alimentos,2,cbd996ad3c1b7dc71fd0e5f5df9087e2,sao jose do rio preto,SP,86,50.25,15.05
alimentos,3,d13e50eaa47b4cbe9eb81465865d8cfc,santo andre,SP,56,84.56,11.99
alimentos,4,"8d79c8a04e42d722a75097ce5cbcf2ef",caucaia,CE,27,99.2,27.05
alimentos,5,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,25,82.28,16.79
alimentos_bebidas,1,"282f23a9769b2690c5dda22e316f9941",belo horizonte,MG,57,43.67,17.51
alimentos_bebidas,2,a3dd39f583bc80bd8c5901c95878921e,salvador,BA,34,124.54,21.74
artes,1,c31eff8334d6b3047ed34bebd4d62c36,salto,SP,106,100.97,19.14
artigos_de_natal,1,"113e3a788b935f48aad63e1c41dac1bd",aparecida,SP,39,17.65,14.3
artigos_de_natal,2,d93919c944be9cff128f6c9cb899eacb,mombuca,SP,32,78.03,29.34
audio,1,"7040e82f899a04d1b434b795a43b4617",sao paulo,SP,94,17.31,12.57
audio,2,"4869f7a5dfa277a7dca6462dcf3b52b2",guariba,SP,56,161.27,17.4
audio,3,"7d13fca15225358621be4086e1eb0964",ribeirao preto,SP,47,394.93,19.71
audio,4,b2ba3715d723d245138f291a6fe42594,sao paulo,SP,31,112.35,13.29
audio,5,"6560211a19b47992c3666cc44a7e94c0",sao paulo,SP,30,84.88,14.0
automotivo,1,"8581055ce74af1daba164fdbd55a40de",guarulhos,SP,387,149.25,22.2
automotivo,2,"16090f2ca825584b5a147ab24aa30c86",atibaia,SP,252,51.66,13.55
automotivo,3,"7142540dd4c91e2237acb7e911c4eba2",penapolis,SP,227,123.09,21.78
automotivo,4,c003204e1ab016dfa150abc119207b24,cajamar,SP,153,123.11,21.05
automotivo,5,b4ffb71f0cb1b1c3d63fad021ecf93e1,sao paulo,SP,144,40.34,15.27
automotivo,6,"6a8b085f816a1f75f92dbac6eb545f8f",bebedouro,SP,127,44.58,16.13
automotivo,7,"5d0363b33554b373851fc1622e4d5f3c",atibaia,SP,89,67.09,23.63
automotivo,8,c8b0e2b0a7095e5d8219575d5e7e1181,itaquaquecetuba,SP,84,143.18,17.5
automotivo,9,"080199a181c46c657dc5aa235411be3b",osasco,SP,79,174.75,12.54
automotivo,10,"712e6ed8aa4aa1fa65dab41fed5737e4",videira,SC,79,457.64,79.19
bebes,1,"855668e0971d4dfd7bef1b6a4133b41b",itatiba,SP,285,90.14,23.61
bebes,2,"4b9750c8ad28220fe6702d4ecb7c898f",limeira,SP,207,73.09,15.37
bebes,3,"5dceca129747e92ff8ef7a997dc4f8ca",santa barbara d´oeste,SP,105,709.62,33.88
bebes,4,aafe36600ce604f205b86b5084d3d767,sao jose,SC,102,66.66,18.28
bebes,5,"7a67c85e85bb2ce8582c35f2203ad736",sao paulo,SP,96,62.08,17.4
bebes,6,"7ea5bfa6c340f58f8e71fc1f0412b0d6",belo horizonte,MG,94,112.48,16.2
bebes,7,"1d8dbc4f32378d715c717c1c1fc57bae",arapongas,PR,92,115.47,21.48
bebes,8,"1f9ab4708f3056ede07124aad39a2554",tupa,SP,78,172.19,30.9
bebes,9,d673a59aac7a70d8b01e6902bf090a11,ibitinga,SP,77,45.9,19.05
bebes,10,d98eec89afa3380e14463da2aabaea72,porto alegre,RS,59,34.99,16.61
bebidas,1,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,170,42.76,13.19
bebidas,2,"9b013e03b2ab786505a1d3b5c0756754",vicente de carvalho,SP,50,39.75,11.46
beleza_saude,1,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1056,58.59,14.94
beleza_saude,2,"06a2c3af7b3aee5d69171b0e14f0ee87",sao luis,MA,392,89.9,29.98
beleza_saude,3,"620c87c171fb2a6dd6e8bb4dec959fc6",petropolis,RJ,372,101.51,18.36
beleza_saude,4,c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,261,108.1,11.65
beleza_saude,5,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,242,28.96,10.85
beleza_saude,6,f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,192,327.45,19.06
beleza_saude,7,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,182,387.55,27.52
beleza_saude,8,edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,453.05,22.31
beleza_saude,9,a416b6a846a11724393025641d4edd5e,sao paulo,SP,158,134.0,16.57
beleza_saude,10,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,153,56.53,13.44
brinquedos,1,"46dc3b2cc0980fb8ec44634e21d2718e",rio de janeiro,RJ,358,216.03,18.86
brinquedos,2,fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,277,46.49,13.6
brinquedos,3,"3d871de0142ce09b7081e2b9d1733cb1",campo limpo paulista,SP,230,51.11,16.0
brinquedos,4,"7aa4334be125fcdd2ba64b3180029f14",laranjal paulista,SP,172,67.97,18.93
brinquedos,5,"850f4f8af5ea87287ac68de36e29107f",sao paulo,SP,114,165.42,15.11
brinquedos,6,a3a38f4affed601eb87a97788c949667,joinville,SC,107,100.52,20.02
brinquedos,7,"725c32fa80c2faacc4fc88450d27314e",sao paulo,SP,86,84.07,14.27
brinquedos,8,de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,85,145.22,14.75
brinquedos,9,a49928bcdf77c55c6d6e05e09a9b4ca5,sao paulo,SP,83,85.83,17.11
brinquedos,10,ac3508719a1d8f5b7614b798f70af136,canoas,RS,83,124.42,30.66
cama_mesa_banho,1,"4a3ca9315b744ce9f8e9374361493884",ibitinga,SP,1459,105.1,17.96
cama_mesa_banho,2,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1074,119.27,17.2
cama_mesa_banho,3,d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,497,33.95,15.04
cama_mesa_banho,4,"1835b56ce799e6a4dc4eddc053f04066",ibitinga,SP,418,59.78,15.69
cama_mesa_banho,5,"1900267e848ceeba8fa32d80c1a5f5a8",ibitinga,SP,405,46.49,15.42
cama_mesa_banho,6,"8160255418d5aaa7dbdc9f4c64ebda44",ibitinga,SP,380,108.9,18.1
cama_mesa_banho,7,"37be5a7c751166fbc5f8ccba4119e043",sao paulo,SP,268,196.94,21.7
cama_mesa_banho,8,"391fc6631aebcf3004804e51b40bcf1e",ibitinga,SP,256,51.36,15.2
