"product_category_name","total_ordenes","dias_promedio_entrega","dias_minimo","dias_maximo"
artes_e_artesanato,23,5.0,1.4,17.5
la_cuisine,13,7.4,4.6,14.1
portateis_cozinha_e_preparadores_de_alimentos,14,7.6,2.3,19.1
livros_importados,53,7.7,1.0,26.5
fashion_roupa_infanto_juvenil,8,8.4,2.0,27.3
artigos_de_festas,39,8.8,1.1,24.1
pc_gamer,8,8.9,2.8,17.0
alimentos,450,9.2,0.1,138.9
construcao_ferramentas_iluminacao,244,9.2,1.1,38.3
portateis_casa_forno_e_cafe,75,9.4,1.2,38.0
sinalizacao_e_seguranca,140,9.7,-0.0,102.6
cine_foto,65,9.8,0.9,28.5
bebidas,297,10.1,0.1,69.5
livros_tecnicos,260,10.1,-0.1,40.6
cds_dvds_musicais,12,10.3,6.7,19.5
construcao_ferramentas_construcao,748,10.3,-2.3,97.5
industria_comercio_e_negocios,235,10.3,0.1,53.3
malas_acessorios,1034,10.3,0.0,71.5
alimentos_bebidas,227,10.4,1.0,55.4
eletroportateis,630,10.4,-0.0,57.4
fraldas_higiene,27,10.4,3.2,29.6
utilidades_domesticas,5884,10.5,-4.9,179.5
fashion_bolsas_e_acessorios,1864,10.7,-0.1,102.7
artes,202,10.8,-1.0,43.0
flores,29,10.8,2.1,32.3
agro_industria_e_comercio,182,10.9,1.5,52.0
eletrodomesticos,764,10.9,0.0,62.7
pet_shop,1710,10.9,-0.7,59.2
livros_interesse_geral,512,11.1,0.8,51.4
musica,38,11.2,1.4,45.2
brinquedos,3886,11.3,-1.1,145.4
fashion_esporte,27,11.4,1.4,25.6
moveis_cozinha_area_de_servico_jantar_e_jardim,248,11.4,0.1,46.0
perfumaria,3162,11.4,-0.3,145.1
beleza_saude,8836,11.5,-3.0,167.9
construcao_ferramentas_jardim,194,11.5,1.4,38.1
construcao_ferramentas_seguranca,167,11.5,1.6,56.0
climatizacao,253,11.7,1.2,47.3
market_place,280,11.7,1.3,47.8
automotivo,3897,11.8,-2.2,208.5
construcao_ferramentas_ferramentas,97,11.8,1.9,38.1
esporte_lazer,7720,11.8,-1.2,172.1
fashion_roupa_feminina,39,11.8,1.8,35.5
cool_stuff,3632,11.9,-2.8,208.3
bebes,2885,12.1,-7.0,130.2
telefonia_fixa,217,12.1,1.8,44.4
relogios_presentes,5624,12.2,-5.1,194.0
telefonia,4199,12.3,-2.2,166.1
"",1451,12.4,1.0,143.5
cama_mesa_banho,9417,12.4,-5.0,148.2
eletronicos,2550,12.4,-3.2,130.0
instrumentos_musicais,628,12.4,0.0,194.6
moveis_decoracao,6449,12.4,-5.1,189.9
papelaria,2311,12.4,-0.1,130.7
dvds_blu_ray,59,12.5,2.1,39.1
tablets_impressao_imagem,79,12.5,1.2,40.7
fashion_roupa_masculina,112,12.7,2.0,49.9
informatica_acessorios,6689,12.7,-1.2,181.6
casa_construcao,490,12.8,0.2,191.4
moveis_quarto,95,12.8,1.3,41.4
audio,350,12.9,0.0,53.0
pcs,181,12.9,2.1,70.0
casa_conforto,397,13.1,-2.3,173.5
consoles_games,1062,13.2,-0.1,194.6
ferramentas_jardim,3518,13.2,0.0,165.0
fashion_underwear_e_moda_praia,121,13.3,2.1,43.1
eletrodomesticos_2,234,13.4,0.8,187.7
moveis_sala,422,13.4,1.1,106.3
moveis_colchao_e_estofado,38,14.1,1.9,72.2
casa_conforto_2,24,14.2,3.2,44.1
seguros_e_servicos,2,14.4,9.6,19.2
fashion_calcados,240,15.1,3.1,53.1
artigos_de_natal,128,15.3,1.1,88.2
moveis_escritorio,1273,20.2,0.1,194.9
