"customer_state","total_ordenes","precio_promedio","costo_logistica_promedio","margen_promedio","margen_pct","dias_entrega_promedio"
SP,41746,109.65,15.15,94.51,86.19,8.3
RJ,12852,125.12,20.96,104.16,83.25,14.8
MG,11635,120.75,20.63,100.12,82.91,11.6
RS,5466,120.34,21.74,98.6,81.94,14.7
PR,5045,119.0,20.53,98.47,82.75,11.5
SC,3637,124.65,21.47,103.18,82.78,14.5
BA,3380,134.6,26.36,108.24,80.41,18.8
DF,2140,125.77,21.04,104.73,83.27,12.5
ES,2033,121.91,22.06,99.85,81.91,15.2
GO,2020,126.27,22.77,103.5,81.97,14.9
PE,1652,145.51,32.92,112.59,77.38,17.8
CE,1336,153.76,32.71,121.04,78.72,20.5
PA,975,165.69,35.83,129.86,78.37,23.2
MT,907,148.3,28.17,120.13,81.01,17.4
MA,747,145.2,38.26,106.95,73.65,21.1
MS,715,142.63,23.37,119.25,83.61,15.1
PB,536,191.48,42.72,148.75,77.69,20.0
PI,495,160.36,39.15,121.21,75.59,18.9
RN,485,156.97,35.65,121.31,77.29,18.9
AL,413,180.89,35.84,145.05,80.18,24.0
SE,350,153.04,36.65,116.39,76.05,21.0
TO,280,157.53,37.25,120.28,76.36,16.9
RO,253,165.97,41.07,124.9,75.26,19.2
AM,148,135.5,33.21,102.29,75.49,26.0
AC,81,173.73,40.07,133.65,76.93,20.1
AP,68,164.32,34.01,130.31,79.31,27.5
RR,46,150.57,42.98,107.58,71.45,27.8
