"product_category_name","total_ordenes","rating_promedio","ordenes_satisfechas","pct_satisfechos","ordenes_insatisfechas","pct_insatisfechos"
cds_dvds_musicais,8,4.75,7,87.5,0,0.0
livros_interesse_geral,404,4.48,386,95.54,34,8.42
fashion_roupa_infanto_juvenil,7,4.43,6,85.71,1,14.29
livros_importados,46,4.4,44,95.65,6,13.04
livros_tecnicos,198,4.37,171,86.36,23,11.62
portateis_casa_forno_e_cafe,59,4.33,51,86.44,7,11.86
moveis_quarto,75,4.33,73,97.33,10,13.33
malas_acessorios,813,4.33,720,88.56,75,9.23
construcao_ferramentas_ferramentas,72,4.33,67,93.06,8,11.11
artes_e_artesanato,16,4.31,14,87.5,2,12.5
alimentos_bebidas,175,4.26,169,96.57,19,10.86
alimentos,337,4.26,311,92.28,49,14.54
flores,22,4.25,20,90.91,2,9.09
pet_shop,1332,4.23,1225,91.97,180,13.51
pcs,143,4.23,132,92.31,20,13.99
papelaria,1798,4.22,1590,88.43,246,13.68
fashion_calcados,181,4.21,159,87.85,26,14.36
eletrodomesticos,600,4.2,512,85.33,71,11.83
construcao_ferramentas_jardim,162,4.2,162,100.0,28,17.28
cine_foto,55,4.19,49,89.09,10,18.18
eletroportateis,502,4.18,441,87.85,74,14.74
brinquedos,3031,4.16,2534,83.6,431,14.22
perfumaria,2484,4.15,2121,85.39,404,16.26
beleza_saude,6923,4.14,5932,85.69,1041,15.04
musica,32,4.13,25,78.13,4,12.5
fashion_bolsas_e_acessorios,1461,4.13,1259,86.17,212,14.51
cool_stuff,2838,4.13,2336,82.31,400,14.09
instrumentos_musicais,510,4.11,435,85.29,85,16.67
esporte_lazer,5957,4.11,5252,88.17,985,16.54
construcao_ferramentas_iluminacao,183,4.1,170,92.9,28,15.3
fashion_esporte,20,4.09,19,95.0,3,15.0
sinalizacao_e_seguranca,110,4.08,114,103.64,19,17.27
dvds_blu_ray,51,4.07,46,90.2,10,19.61
artigos_de_natal,101,4.07,95,94.06,16,15.84
utilidades_domesticas,4572,4.06,4147,90.7,846,18.5
eletrodomesticos_2,190,4.06,152,80.0,28,14.74
construcao_ferramentas_construcao,593,4.05,554,93.42,116,19.56
consoles_games,841,4.05,673,80.02,133,15.81
automotivo,3063,4.05,2558,83.51,527,17.21
tablets_impressao_imagem,54,4.04,42,77.78,9,16.67
industria_comercio_e_negocios,189,4.03,165,87.3,35,18.52
climatizacao,201,4.03,179,89.05,37,18.41
ferramentas_jardim,2735,4.02,2544,93.02,555,20.29
eletronicos,1995,4.02,1645,82.46,350,17.54
relogios_presentes,4443,4.0,3533,79.52,795,17.89
bebes,2263,4.0,1802,79.63,413,18.25
market_place,225,3.97,184,81.78,38,16.89
agro_industria_e_comercio,141,3.97,129,91.49,26,18.44
telefonia,3260,3.96,2606,79.94,580,17.79
artes,152,3.96,116,76.32,28,18.42
moveis_cozinha_area_de_servico_jantar_e_jardim,197,3.95,164,83.25,36,18.27
informatica_acessorios,5232,3.94,4519,86.37,1118,21.37
bebidas,224,3.94,209,93.3,49,21.88
casa_construcao,386,3.93,350,90.67,92,23.83
la_cuisine,11,3.92,9,81.82,3,27.27
fashion_underwear_e_moda_praia,88,3.92,72,81.82,21,23.86
moveis_sala,322,3.91,272,84.47,70,21.74
cama_mesa_banho,7350,3.9,6213,84.53,1657,22.54
moveis_decoracao,4968,3.89,4589,92.37,1283,25.83
moveis_colchao_e_estofado,32,3.88,23,71.88,6,18.75
construcao_ferramentas_seguranca,138,3.85,116,84.06,32,23.19
casa_conforto,306,3.83,232,75.82,71,23.2
artigos_de_festas,33,3.83,24,72.73,8,24.24
audio,270,3.82,195,72.22,61,22.59
"",1124,3.79,881,78.38,298,26.51
fashion_roupa_masculina,83,3.68,63,75.9,25,30.12
fashion_roupa_feminina,34,3.68,26,76.47,9,26.47
telefonia_fixa,164,3.61,134,81.71,59,35.98
casa_conforto_2,21,3.52,15,71.43,7,33.33
portateis_cozinha_e_preparadores_de_alimentos,12,3.5,6,50.0,3,25.0
moveis_escritorio,1005,3.46,801,79.7,356,35.42
pc_gamer,8,3.33,6,75.0,3,37.5
fraldas_higiene,19,2.96,12,63.16,10,52.63
seguros_e_servicos,2,2.5,1,50.0,1,50.0
